user_id,item_id,rating,interaction,timestamp,description,item_features
user_78,item_17,4.0,cart,2025-05-09 04:31:25,Run turn church ahead heavy two produce miss cup decade.,Electronics no
user_94,item_30,3.0,view,2025-05-09 04:31:08,Seat book result get record available catch catch.,Sports house
user_49,item_6,4.0,view,2025-05-09 04:32:02,Unit gas lose news third south table be expect usually war.,Books civil
user_81,item_40,,cart,2025-05-09 04:34:53,Baby tree trouble begin generation news wind leader of.,Clothing course
user_47,item_37,3.0,view,2025-05-09 04:30:39,Crime anyone wish side trip election.,Books partner
user_9,item_3,3.0,view,2025-05-09 04:30:21,,Electronics drop
user_99,item_19,5.0,purchase,2025-05-09 04:29:53,Shoulder glass market across land college age stay chair cell never.,Electronics there
user_30,item_7,4.0,view,2025-05-09 04:32:48,Challenge next need religious guess generation responsibility TV most decade.,Books professional
user_59,item_41,,cart,2025-05-09 04:30:56,Account medical degree mind line section western evidence traditional which we most.,Clothing tree
user_21,item_24,4.0,view,2025-05-09 04:34:30,Draw race we cultural find buy enter approach other loss.,Electronics friend
user_86,item_18,3.0,cart,2025-05-09 04:31:58,Record author collection material item tonight shake chance become civil Mr.,Electronics fly
user_88,item_42,3.0,view,2025-05-09 04:33:06,Fund evidence Democrat she exactly rate next member and turn pressure.,Books available
user_82,item_11,4.0,view,2025-05-09 04:30:24,Reveal table describe shoulder little require.,Beauty economy
user_32,item_11,2.0,view,2025-05-09 04:31:51,Reveal table describe shoulder little require.,Beauty economy
user_35,item_41,2.0,view,2025-05-09 04:34:47,Account medical degree mind line section western evidence traditional which we most.,Clothing tree
user_29,item_44,,view,2025-05-09 04:30:11,Money like voice administration federal figure trip decision pressure this.,Clothing collection
user_99,item_50,2.0,view,2025-05-09 04:30:25,Pressure eat business mean join need peace night including save adult world must.,Clothing usually
user_5,item_21,4.0,view,2025-05-09 04:29:16,What approach official call industry and hard top.,Books anyone
user_9,item_14,3.0,purchase,2025-05-09 04:32:38,Painting action impact debate child increase himself these mother single fund system.,Electronics detail
user_73,item_46,2.0,view,2025-05-09 04:30:45,Star drug usually seek hope fill two present institution happen.,Electronics today
user_84,item_32,5.0,view,2025-05-09 04:30:25,Build current there car animal bad your policy ok.,Books nor
user_83,item_30,3.0,view,2025-05-09 04:30:12,Seat book result get record available catch catch.,Sports house
user_18,item_16,4.0,cart,2025-05-09 04:31:15,,Home third
user_69,item_17,,cart,2025-05-09 04:31:11,,Electronics no
user_55,item_38,3.0,view,2025-05-09 04:32:28,Human their agency challenge true history child structure create.,Beauty project
user_29,item_9,4.0,view,2025-05-09 04:34:06,Speak can ready live somebody fund garden few rule eye financial would.,Beauty Congress
user_12,item_49,2.0,view,2025-05-09 04:29:41,See Congress professor economic actually up assume study also.,Clothing American
user_15,item_10,4.0,view,2025-05-09 04:30:59,Agent as move treatment read actually pick.,Electronics data
user_88,item_28,3.0,view,2025-05-09 04:29:58,Prepare continue down although lot way south tree shake physical.,Beauty mouth
user_50,item_25,,view,2025-05-09 04:31:49,Remain court good day field wait management discuss hear suffer direction mother still.,Sports whatever
user_60,item_34,3.0,view,2025-05-09 04:29:44,,Sports home
user_71,item_1,5.0,view,2025-05-09 04:32:41,Grow media network crime rest himself worker animal reason agree pull.,Beauty test
user_15,item_44,3.0,cart,2025-05-09 04:31:45,Money like voice administration federal figure trip decision pressure this.,Clothing collection
user_97,item_18,,cart,2025-05-09 04:35:02,Record author collection material item tonight shake chance become civil Mr.,Electronics fly
user_44,item_8,,view,2025-05-09 04:32:43,Similar do party court hit lead expect.,Books since
user_21,item_30,2.0,view,2025-05-09 04:29:22,Seat book result get record available catch catch.,Sports house
user_93,item_47,4.0,view,2025-05-09 04:29:38,Bring million image condition care walk open fight the skin now kid.,Home a
